Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
ORB;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;266.92;24.24;254.51;0.02;0.02;false;248.13;20.15;232.30;266.59;24.15;254.26;430.00;0.00;430.00;463.00;0.00;463.00;41.00;11.00;39.00;41.00;11.00;39.00;13.00;3.00;12.00;29.00;10.00;27.00;18.88;14.27;17.46;float;;float;8.93;0.78;8.30;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;SURF;;BF;;336x252;;336x252;305x229;;305x229;249.22;4.24;248.49;1.00;1.00;true;237.27;4.25;236.17;248.92;4.21;248.22;430.00;0.00;430.00;463.00;0.00;463.00;19.00;0.00;19.00;19.00;0.00;19.00;13.00;0.00;13.00;6.00;0.00;6.00;1.01;0.30;0.74;float;;float;10.71;1.96;10.95;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;246.75;3.67;245.62;1.00;1.00;true;234.98;3.89;235.97;246.47;3.64;245.35;430.00;0.00;430.00;463.00;0.00;463.00;24.00;5.00;24.00;24.00;5.00;24.00;16.00;5.00;16.00;8.00;4.00;7.00;1.76;1.25;0.87;float;;float;10.78;2.40;8.50;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;98.67;6.40;93.86;1.00;1.00;true;53.46;5.32;49.58;98.39;6.38;93.59;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.22;2.61;42.19;binary;;binary;1.90;0.56;1.89;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;101.69;9.83;94.1;0.89;0.89;true;57.84;9.68;49.73;101.42;9.82;93.80;157.00;0.00;157.00;161.00;0.00;161.00;135.00;11.00;136.00;135.00;11.00;136.00;17.50;8.50;18.00;119.50;14.50;117.00;46.31;5.10;42.15;binary;;binary;3.65;1.73;2.03;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;92.31;20.32;74.97;0.00;0.00;false;34.05;10.22;24.81;92.03;20.29;74.67;327.00;0.00;327.00;341.00;0.00;341.00;341.00;0.00;341.00;341.00;0.00;341.00;33.00;0.00;33.00;308.00;0.00;308.00;52.69;9.38;44.23;binary;;binary;5.20;1.05;5.58;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;77.89;5.62;75.08;0.01;0.01;false;28.55;4.25;25.00;77.62;5.63;74.80;327.00;0.00;327.00;341.00;0.00;341.00;325.00;11.00;325.00;325.00;11.00;325.00;32.00;6.00;32.00;293.00;12.00;292.00;47.30;4.15;44.94;binary;;binary;6.22;2.41;4.25;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;86.31;7.08;85.45;0.00;0.00;false;29.36;4.48;26.23;86.02;7.03;85.20;370.00;0.00;370.00;375.00;0.00;375.00;375.00;0.00;375.00;375.00;0.00;375.00;16.00;0.00;16.00;359.00;0.00;359.00;46.58;3.16;46.07;binary;;binary;11.28;1.85;12.77;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;77.63;4.07;75.12;0.00;0.00;false;26.40;1.56;25.38;77.38;4.07;74.87;370.00;0.00;370.00;375.00;0.00;375.00;354.00;14.00;354.00;354.00;14.00;354.00;13.50;3.50;12.00;341.50;12.50;341.00;46.70;3.45;43.88;binary;;binary;7.53;2.88;4.97;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;74.58;4.68;72.64;0.00;0.00;false;28.28;3.67;25.49;74.00;4.66;72.00;150.00;0.00;150.00;198.00;0.00;198.00;198.00;0.00;198.00;198.00;0.00;198.00;28.00;0.00;28.00;170.00;0.00;170.00;45.50;3.27;43.28;binary;;binary;2.35;0.73;2.95;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;75.71;5.81;71.59;0.01;0.01;false;27.69;3.03;25.22;74.93;5.70;71.09;150.00;0.00;150.00;198.00;0.00;198.00;165.50;17.50;168.00;165.50;17.50;168.00;30.50;6.50;28.00;136.50;15.50;139.00;45.09;3.36;42.99;binary;;binary;3.97;1.72;2.42;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;ORB;;BF;;336x252;;336x252;305x229;;305x229;0.37;0.15;0.23;0.00;0.00;false;0.01;0.01;0.00;0.02;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;ORB;;FLANN;;336x252;;336x252;305x229;;305x229;0.25;0.03;0.23;0.00;0.00;false;0.01;0.01;0.00;0.02;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;89.94;20.79;72.76;1.00;1.00;true;78.97;18.76;78.33;89.46;20.65;73.87;400.00;0.00;400.00;400.00;0.00;400.00;47.00;0.00;47.00;47.00;0.00;47.00;29.00;0.00;29.00;18.00;0.00;18.00;1.57;0.59;1.46;float;;float;8.92;2.86;8.66;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;75.43;7.95;72.61;1.00;1.00;true;64.95;6.15;63.02;75.16;7.96;72.34;400.00;0.00;400.00;400.00;0.00;400.00;49.00;3.00;49.00;49.00;3.00;49.00;28.00;3.00;29.00;20.50;3.50;21.00;1.68;0.77;1.34;float;;float;9.01;1.72;7.58;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SURF;;BF;;336x252;;336x252;305x229;;305x229;63.76;2.82;62.76;0.00;0.00;false;47.84;3.09;46.80;63.50;2.84;62.49;400.00;0.00;400.00;400.00;0.00;400.00;25.00;0.00;25.00;25.00;0.00;25.00;9.00;0.00;9.00;16.00;0.00;16.00;7.28;0.93;6.47;float;;float;9.12;0.94;8.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;67.10;9.12;62.34;0.00;0.00;false;49.33;6.23;46.59;66.86;9.13;62.10;400.00;0.00;400.00;400.00;0.00;400.00;28.50;4.50;27.00;28.50;4.50;27.00;9.50;0.50;9.00;19.50;4.50;18.00;12.99;8.00;6.53;float;;float;8.46;1.57;7.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;73.61;3.56;72.61;1.00;1.00;true;28.88;2.76;26.93;73.35;3.56;72.33;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.70;3.04;42.91;binary;;binary;2.08;0.72;2.47;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;85.12;15.45;72.00;0.91;0.91;true;33.12;7.11;26.72;84.85;15.45;71.73;157.00;0.00;157.00;161.00;0.00;161.00;136.00;12.00;136.00;136.00;12.00;136.00;18.50;9.50;18.00;119.00;15.00;118.00;48.57;7.39;42.72;binary;;binary;3.17;1.24;2.05;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;22.76;1.76;21.66;0.00;0.00;false;1.18;0.29;0.94;22.52;1.76;21.42;24.00;0.00;24.00;22.00;0.00;22.00;22.00;0.00;22.00;22.00;0.00;22.00;6.00;0.00;6.00;16.00;0.00;16.00;21.39;1.73;20.27;binary;;binary;0.16;0.09;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
